,Growth,Low Risk,Low Size,Momentum,Value,Quality Income
2018-10-03,3113.3619088352484,2522.8053421598906,4392.155726524447,7157.05937376435,5325.1540352945585,2812.153549940722
2018-10-04,3076.114240954347,2493.5557476506897,4354.742634965841,7075.789533921646,5289.878155724053,2797.149618118928
2018-10-05,3056.0317596758878,2480.067083607377,4321.295270745115,7043.439429313415,5246.2162957123655,2797.3665644421835
2018-10-08,3047.747969594175,2468.4427156942716,4337.096450053876,7020.376627447056,5260.0287110455465,2813.402682876152
2018-10-09,3043.1088183643933,2465.088888430681,4296.840596079625,7004.944378308948,5203.928852010581,2805.3318077124695
2018-10-10,2938.821895081711,2382.6299964504565,4185.170131001809,6742.316245633156,5083.430275105848,2747.781002556182
2018-10-11,2884.4671074036346,2337.072097851528,4102.746481785933,6624.513969486851,4969.050473327871,2681.098061394806
2018-10-12,2929.3599454886944,2370.756879017297,4106.7965751678175,6727.001956317432,4991.102807356245,2685.979062929323
2018-10-15,2918.2822011828475,2358.463601783432,4125.060029911,6692.656793802291,4998.615203414776,2679.219430567785
2018-10-16,2991.913648666701,2413.146392514256,4206.877540445119,6841.991688694578,5093.36596342341,2709.090630311466
2018-10-17,2976.181912340327,2413.5751686616873,4193.023807038932,6794.175798010848,5083.493070323387,2687.166126108349
2018-10-18,2927.44503176195,2381.0788185938172,4127.831149878455,6710.007309563073,5012.9334120022995,2666.987619533852
2018-10-19,2903.4765922761276,2372.4533213754835,4120.07544774574,6636.55964441584,5002.848778600137,2694.2693086060845
2018-10-22,2895.9240896068018,2373.5036986050673,4084.047416655701,6644.713105315117,4950.894979870561,2669.6758059890744
2018-10-23,2883.9712810345222,2361.4750651779877,4066.112969577057,6579.775152023571,4930.075156196915,2641.6647492480697
2018-10-24,2785.8160934615557,2298.402893980961,3958.949157750409,6380.093366517448,4756.541267372081,2613.8480243997888
2018-10-25,2834.5447752523946,2333.4160416903096,4029.2758864873945,6498.704445645235,4848.023194651615,2636.265136439599
2018-10-26,2794.9965038482433,2303.0323035744786,3968.4784082720275,6402.636448017675,4763.11757352085,2588.369870900088
2018-10-29,2784.93466631511,2299.067280027962,3969.7320658856825,6393.814182457391,4764.5068368410175,2573.0426607678305
2018-10-30,2843.781198038595,2334.2472249589796,4075.7264012000546,6547.337588550465,4869.085510139943,2604.5312580361483
2018-10-31,2879.151875677692,2359.5727312553113,4079.4505786535588,6594.01081381188,4897.422299456595,2602.444493905172
2018-11-01,2930.3612375693556,2381.320023925864,4176.689389929284,6685.408916902176,5025.707776938067,2641.317059777138
2018-11-02,2920.355258305149,2378.4247773378647,4168.129285884172,6673.144575752764,4998.710011187947,2624.927187280298
2018-11-05,2932.0437236762355,2391.0166946203462,4188.157847559113,6715.758641581111,5034.442311223098,2651.2049476766583
2018-11-06,2948.196472158884,2406.120181599268,4212.875000840337,6744.953369630775,5083.63897438597,2675.7729004154166
2018-11-07,3013.1333952459368,2444.7915996459574,4220.569512245476,6883.3633700378105,5137.711281223227,2713.838951691679
2018-11-08,2999.1503231652628,2448.746190300211,4214.911248097843,6878.476839825909,5103.671741741298,2706.5159699175165
2018-11-09,2966.904703927026,2438.2942328788276,4164.281560087941,6806.959191465407,5040.752078677193,2698.2220609345914
2018-11-12,2904.7671992057094,2396.104280026852,4106.448210975478,6683.374484645808,4960.523883534441,2668.3237696736364
2018-11-13,2908.610785531885,2392.9127803512065,4110.786972687397,6656.6337887693935,4963.714010538783,2650.5059989987144
2018-11-14,2887.427542430725,2378.186206701309,4084.2019201131557,6593.451268231075,4926.171896356779,2647.814298498242
2018-11-15,2909.281586898721,2402.6901486913575,4108.532460564966,6645.4288646967625,4948.452839298159,2674.1536545009
2018-11-16,2908.0499564525408,2417.3446679382673,4115.73591957028,6651.856489317939,4957.391673306888,2692.920581971896
2018-11-19,2843.2369903646736,2380.199760585851,4073.859764665023,6506.568128538392,4900.926395499679,2677.8722793059915
2018-11-20,2797.6001875368092,2347.5493310881957,4003.654747184919,6369.034487700097,4810.331355526539,2645.4727154898055
2018-11-21,2825.2766446695223,2356.6897053223033,4052.887815505135,6444.1223097466545,4863.148842389375,2644.7729066942015
2018-11-22,2825.2766446695223,2356.6897053223033,4052.887815505135,6444.1223097466545,4863.148842389375,2644.7729066942015
2018-11-23,2821.234422254579,2352.811505219985,4045.194763581508,6399.4928409292215,4845.923112909436,2627.605787439578
2018-11-26,2872.2564393204357,2380.2493551890257,4118.219488439622,6493.765977808329,4924.727101520259,2657.6199935124723
2018-11-27,2867.4092496990106,2383.7528223919944,4083.6964612707748,6494.027732513307,4912.43365923849,2673.2538933665687
2018-11-28,2939.3472046471666,2436.4396622285385,4164.469994981185,6650.575149951631,4997.889952140426,2704.2206700057122
2018-11-29,2927.7331941928114,2434.10199344607,4152.315969336712,6638.287265133923,4973.044901711642,2705.658334183967
2018-11-30,2950.8019763515476,2452.020794260768,4166.449852884022,6671.529733419379,4993.890651961184,2726.608603566896
2018-12-03,2991.9316464689823,2471.485569535685,4221.125950408235,6764.030847944373,5053.852401289405,2752.022703923102
2018-12-04,2887.153716689269,2405.177505265751,4065.6874496617434,6566.501965210402,4863.753040284494,2687.555655544277
